EPC category,EPC type,Construction year,Renovation year,Number of floors,Floor area,Number of basements,Number of stairwells,Number of apartments,Exhaust,Balanced,Balanced with heat exchanger,Exhaust with heat pump,Natural ventilation,Pipe insulation,Door/windows insulation,Cement panel board,Tile/clinker,Carpet glue,Floor mat,Ventilation channel,Gbg
Multifamily house,Detached,1937.0,2003.0,3.0,1450,0.0,4.0,24.0,0.0,0.0,0.0,0.0,1.0,,,,,,,1.0,1
Multifamily house,Detached,1921.0,,3.0,1066,1.0,1.0,12.0,,,,,,0.0,0.0,,1.0,0.0,1.0,,1
Multifamily house,Detached,1970.0,1995.0,6.0,6381,1.0,3.0,66.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,,,,,1
Multifamily house,Detached,1970.0,1995.0,7.0,6100,0.0,3.0,72.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,,,,,1
Multifamily house,Detached,1968.0,,4.0,3027,0.0,6.0,41.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,,1.0,,1
Multifamily house,Detached,1955.0,2000.0,4.0,2951,1.0,6.0,43.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,1
Multifamily house,Detached,1955.0,2000.0,4.0,1506,1.0,3.0,23.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,1
Multifamily house,Detached,1942.0,1972.0,3.0,1745,1.0,4.0,25.0,0.0,0.0,0.0,0.0,1.0,,,,,,1.0,1.0,1
Multifamily house,Detached,1963.0,1990.0,3.0,3279,1.0,4.0,29.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,1
Multifamily house,Detached,1963.0,1990.0,3.0,4708,1.0,5.0,52.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,1.0,,,,1
Multifamily house,Detached,1968.0,1993.0,9.0,18331,1.0,13.0,169.0,1.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,,1
Multifamily house,Intermediate,1910.0,1994.0,5.0,2412,0.0,1.0,21.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,1
Multifamily house,Gable,1962.0,1988.0,9.0,8792,1.0,,,1.0,1.0,1.0,0.0,0.0,,,,,,,,1
Multifamily house,Intermediate,1959.0,2008.0,13.0,8141,0.0,2.0,102.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,1
Multifamily house,Detached,1964.0,1975.0,3.0,5520,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,1.0,0.0,1.0,1.0,1
Multifamily house,Detached,1973.0,1995.0,2.0,350,0.0,,6.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,1
Multifamily house,Unknown,1920.0,1989.0,2.0,174,,,,,,,,,,,,,,,,1
Multifamily house,Detached,1962.0,2005.0,4.0,1252,1.0,2.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,1.0,0.0,,,1
Multifamily house,Detached,1956.0,2010.0,8.0,2633,1.0,1.0,31.0,1.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,1
Multifamily house,Detached,1948.0,1992.0,3.0,1969,1.0,4.0,34.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,1
Multifamily house,Intermediate,1955.0,,3.0,2326,1.0,4.0,32.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,1
Multifamily house,Detached,1970.0,,,504,1.0,,,,,,,,1.0,,,,,,,0
Multifamily house,Detached,1961.0,2002.0,9.0,17215,1.0,4.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,1.0,1.0,0.0,0.0,0
Multifamily house,Detached,1911.0,1974.0,7.0,3208,2.0,,,0.0,0.0,1.0,0.0,1.0,1.0,,,0.0,,1.0,,0
Multifamily house,Detached,1971.0,,7.0,3904,1.0,,,0.0,0.0,1.0,0.0,0.0,1.0,,,1.0,,1.0,,0
Multifamily house,Detached,1963.0,2005.0,4.0,9366,3.0,4.0,252.0,0.0,0.0,1.0,0.0,0.0,,,1.0,0.0,0.0,0.0,1.0,0
Multifamily house,Detached,1958.0,,3.0,4752,1.0,8.0,48.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,1.0,0.0,0
Multifamily house,Detached,1958.0,,3.0,4752,1.0,8.0,48.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,,1.0,1.0,0.0,0
Multifamily house,Detached,1958.0,,3.0,4752,1.0,8.0,48.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,1.0,,0.0,0
Multifamily house,Detached,1957.0,,2.0,800,,,,,,,,,1.0,,1.0,0.0,1.0,1.0,1.0,0
Premise building,Detached,1939.0,,4.0,3293,1.0,,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,,,,,0
Premise building,Detached,1960.0,,12.0,20251,0.0,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0
Multifamily house,Detached,1958.0,,1.0,800,0.0,,,,,,,,0.0,,,0.0,,,0.0,0
Multifamily house,Detached,1969.0,2008.0,6.0,3251,1.0,1.0,30.0,1.0,0.0,0.0,0.0,0.0,1.0,,,1.0,1.0,1.0,,0
Premise building,Detached,1969.0,2008.0,2.0,476,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,1.0,,0.0,1.0,1.0,0
Multifamily house,Detached,1969.0,2008.0,7.0,3251,1.0,1.0,30.0,1.0,0.0,0.0,0.0,0.0,1.0,,,1.0,1.0,1.0,,0
Multifamily house,Detached,1969.0,2008.0,2.0,506,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,0.0,,0
Multifamily house,Detached,1969.0,2008.0,7.0,3261,1.0,1.0,30.0,1.0,0.0,0.0,0.0,0.0,1.0,,,1.0,1.0,1.0,0.0,0
Multifamily house,Detached,1944.0,,4.0,972,1.0,1.0,12.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,,0
Multifamily house,Detached,1944.0,,3.0,752,1.0,1.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,0
Multifamily house,Detached,1944.0,,3.0,696,1.0,1.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,1.0,0
Multifamily house,Detached,1944.0,,3.0,756,1.0,1.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,0
